date,monthid,yearid,weekid,h1_pos,sh3_pos,b_pos,pos_index,RSV_org,Adenovirus,paraflu12,paraflu34,RSV,temp.max,temp.mean,temp.min,relative.humidity,total.rainfall,solar.radiation,wind.speed,absolute.humidity,pressure,temp.range
2014-08-10,8,2014,32,0.000604960677555959,0.0459770114942529,0.0072595281306715095,0.8853429695028464,0.043557168784029,0.8157092528003745,0.019895347629277475,0.23874417155132907,0.7162325146539872,32.7,29.4714285714286,28.8,81.71428571428571,12.7428571428571,18.0071428571429,18.6428571428571,24.077000310307003,1003.5428571428599,4.357142857142859
2014-08-17,8,2014,33,0.0025823111684958,0.0277598450613299,0.00710135571336346,0.37401010794558964,0.0432537120723047,0.38690700821957585,0.01934535041097874,0.1354174528768517,0.43204615917852573,32.4,28.6714285714286,28.5,83.0,38.507142857142895,17.3085714285714,19.671428571428603,23.374251548053397,1006.1285714285699,4.91428571428571
2014-08-24,8,2014,34,0.00135135135135135,0.025,0.007432432432432429,1.0313959907634391,0.0351351351351351,1.0107680709481701,0.08251167926107504,0.4125583963053753,1.0726518303939758,33.2,27.9,27.7,82.5714285714286,18.721428571428604,15.8285714285714,12.4714285714286,22.270696023154898,1009.7285714285699,5.48571428571429
2014-08-31,8,2014,35,0.00122100122100122,0.0299145299145299,0.00549450549450549,1.1038202980554757,0.0372405372405372,1.177408317925842,0.018397004967591286,0.5151161390925557,1.1222173030230662,34.2,29.742857142857105,28.2,77.8571428571429,0.37142857142857105,21.0171428571429,20.0857142857143,23.291108690351702,1010.88571428571,5.2
2014-09-07,9,2014,36,0.0005422993492407809,0.0178958785249458,0.00433839479392625,0.7577567513467756,0.0401301518438178,0.9020913706509204,0.09020913706509205,0.3608365482603682,1.335095228563365,33.6,29.6142857142857,28.3,77.28571428571429,1.37142857142857,20.0171428571429,17.5,22.971947936573898,1008.5571428571401,5.01428571428572
2014-09-14,9,2014,37,0.000541125541125541,0.0124458874458874,0.0102813852813853,1.052188552188552,0.0422077922077922,1.3458225667528025,0.0734085036410617,0.6362070315558708,1.908621094667608,34.1,29.414285714285697,28.1,80.28571428571429,5.98571428571429,18.2571428571429,16.8571428571429,23.5680418297369,1007.0571428571401,5.18571428571429
2014-09-21,9,2014,38,0.000513083632632119,0.0112878399179066,0.007696254489481791,0.8667892545935468,0.0271934325295023,1.6879580221032235,0.0684307306258065,1.0264609593870975,1.2089429077225788,33.2,28.571428571428598,27.4,77.71428571428571,11.035714285714299,13.628571428571401,29.1857142857143,21.8240198218423,1006.38571428571,4.885714285714291
2014-09-28,9,2014,39,0.00151285930408472,0.0045385779122541605,0.007060010085728691,0.32401531466549544,0.0302571860816944,0.7352655217409322,0.04984850994853785,0.4361744620497071,0.7477276492280666,32.8,28.214285714285698,27.2,74.4285714285714,0.11428571428571402,13.857142857142902,8.17142857142857,20.5248636101358,1010.92857142857,4.54285714285714
2014-10-05,10,2014,40,0.00418410041841004,0.00836820083682008,0.00627615062761506,0.5536564740621582,0.0449790794979079,1.0304162156156838,0.046138039505179994,0.4767597415535249,1.3226237991484882,33.6,28.085714285714303,27.2,79.4285714285714,9.221428571428572,15.18,15.657142857142901,21.713498853543896,1011.2,5.17142857142857
2014-10-12,10,2014,41,0.00107700592353258,0.00323101777059774,0.00269251480883145,0.19259459802205775,0.0350026925148088,1.0963077118178655,0.11851975262895861,0.5925987631447931,0.9629729901102874,31.4,26.8857142857143,25.1,61.1428571428571,0.007142857142857141,19.191428571428602,20.9285714285714,15.629664150244201,1012.5571428571401,5.35714285714286
2014-10-19,10,2014,42,0.00210748155953635,0.0047418335089568,0.00210748155953635,0.32300771958816077,0.0194942044257113,1.5770376897539606,0.13300317865394867,0.8740208882973777,0.7030168014565865,29.9,25.5285714285714,24.5,65.5714285714286,0.0214285714285714,18.7014285714286,28.857142857142897,15.539666047261699,1016.9428571428599,4.98571428571429
2014-10-26,10,2014,43,0.00222593210907067,0.00166944908180301,0.00222593210907067,0.23494224110044631,0.0189204229271007,1.1319944343930588,0.08543354221834439,1.1106360488384754,0.7261851088559242,30.6,25.928571428571402,25.0,76.1428571428571,8.107142857142861,11.9285714285714,22.571428571428598,18.439810099985102,1015.9,3.8285714285714305
2014-11-02,11,2014,44,0.0005096839959225281,0.00305810397553517,0.00101936799184506,0.19444154421388876,0.0132517838939857,2.052438522257714,0.2592553922851844,1.2314631133546274,0.5617200166178989,28.7,25.4857142857143,24.5,75.71428571428571,0.0214285714285714,16.4457142857143,27.7,17.9261150997592,1015.47142857143,3.88571428571429
2014-11-09,11,2014,45,0.0,0.00203665987780041,0.000509164969450102,0.10524827942310758,0.014765784114053002,2.210213867885257,0.16839724707697173,1.220880041308046,0.6104400206540253,26.5,22.585714285714303,23.0,80.8571428571429,4.29285714285714,5.832857142857139,27.557142857142896,16.2331808765497,1017.51428571429,2.55714285714286
2014-11-16,11,2014,46,0.0,0.00165562913907285,0.000551876379690949,0.06789825657419189,0.0132450331125828,1.9690494406515628,0.20369476972257547,0.7808299506032071,0.40738953944515155,25.8,22.1,22.8,77.28571428571429,0.0857142857142857,11.388571428571401,26.571428571428598,15.132917306593,1018.41428571429,3.5714285714285694
2014-11-23,11,2014,47,0.0,0.00523311132254995,0.00333016175071361,0.3911039874377984,0.0133206470028544,2.0424319343973893,0.32591998953149864,1.1081279644070992,0.6083839804587963,24.9,21.6857142857143,21.8,72.4285714285714,0.0142857142857143,16.0342857142857,27.085714285714303,13.8568403636374,1018.6,4.18571428571429
